Pattern 37: Unique Paths on Grid,"62. Unique Paths, 63. Unique Paths II, 64. Minimum Path Sum, 120. Triangle, 221. Maximal Square, 931. Minimum Falling Path Sum, 1277. Count Square Submatrices with All Ones"
Pattern 38: Interval DP,"312. Burst Balloons, 546. Remove Boxes"
Pattern 39: Catalan Numbers,"95. Unique Binary Search Trees II, 96. Unique Binary Search Trees, 241. Different Ways to Add Parentheses"
Pattern 40: Longest Increasing Subsequence ,"300. Longest Increasing Subsequence, 354. Russian Doll Envelopes, 1671. Minimum Number of Removals to Make Mountain Array, 2407. Longest Increasing Subsequence II"
Pattern 41:Stock problems,"121. Best Time to Buy and Sell Stock, 122. Best Time to Buy and Sell Stock II,123. Best Time to Buy and Sell Stock III, 188.Best Time to Buy and Sell Stock IV, 309. Best Time to Buy and Sell Stock with Cooldown"
VI. Heap (Priority Queue) Patterns,
Pattern 42: Top K Elements ,"215. Kth Largest Element in an Array, 347. Top K Frequent Elements, 451. Sort Characters By Frequency, 506. Relative Ranks, 703. Kth Largest Element in a Stream, 973. K Closest Points to Origin, 1046. Last Stone Weight, 2558. Take Gifts From the Richest Pile"
Pattern 43: Two Heaps for Median Finding,"295. Find Median from Data Stream, 1825. Finding MK Average"
Pattern 44: K-way Merge,"23. Merge k Sorted Lists, 373. Find K Pairs with Smallest Sums, 378. Kth Smallest Element in a Sorted Matrix, 632. Smallest Range Covering Elements from K Lists"
Pattern 45: Scheduling / Minimum Cost ,"253. Meeting Rooms II, 767. Reorganize String, 857. Minimum Cost to Hire K Workers, 1642. Furthest Building You Can Reach, 1792. Maximum Average Pass Ratio, 1834. Single-Threaded CPU, 1942. The Number of the Smallest Unoccupied Chair, 2402. Meeting Rooms III"
VII. Backtracking Patterns,
Pattern 46: Subsets (Include/Exclude),"17. Letter Combinations of a Phone Number, 77. Combinations, 78. Subsets, 90. Subsets II"
Pattern 47: Permutations,"31. Next Permutation, 46. Permutations, 60. Permutation Sequence"
Pattern 48: Combination Sum,"39. Combination Sum, 40. Combination Sum II"
Pattern 49: Parentheses Generation,"22. Generate Parentheses, 301. Remove Invalid Parentheses"
Pattern 50: Word Search / Path Finding in Grid,"79. Word Search, 212. Word Search II, 2018. Check if Word Can Be Placed In Crossword"
Pattern 51: N-Queens / Constraint Satisfaction,"37. Sudoku Solver, 51. N-Queens"
Pattern 52: Palindrome Partitioning,"131. Palindrome Partitioning,132. Palindrome Partitioning II, 1457. Pseudo-Palindromic Paths in a Binary Tree "
VIII. Greedy Patterns,
Pattern 53: Interval Merging/Scheduling,"56. Merge Intervals, 57. Insert Interval, 759. Employee Free Time, 986. Interval List Intersections, 2406. Divide Intervals Into Minimum Number of Groups"
Pattern 54: Jump Game Reachability/Minimization,"45. Jump Game II, 55. Jump Game"
Pattern 55: Buy/Sell Stock,"121. Best Time to Buy and Sell Stock, 122. Best Time to Buy and Sell Stock II"
Pattern 56: Gas Station Circuit,"134. Gas Station,2202. Maximize the Topmost Element After K Moves"
Pattern 57: Task Scheduling ,"621. Task Scheduler, 767. Reorganize String, 1054. Distant Barcodes"
Pattern 58: Sorting Based,"455. Assign Cookies, 135. Candy, 406. Queue Reconstruction by Height, 1029. Two City Scheduling"
IX. Binary Search Patterns,
Pattern 59: On Sorted Array/List,"35. Search Insert Position, 69. Sqrt(x), 74. Search a 2D Matrix, 278. First Bad Version, 374. Guess Number Higher or Lower, 540. Single Element in a Sorted Array, 704. Binary Search, 1539. Kth Missing Positive Number"
Pattern 60: Find Min/Max in Rotated Sorted Array,"33. Search in Rotated Sorted Array, 81. Search in Rotated Sorted Array II, 153. Find Minimum in Rotated Sorted Array, 5  162. Find Peak Element, 852. Peak Index in a Mountain Array, 1095. Find in Mountain Array"
Pattern 61: On Answer / Condition Function,"410. Split Array Largest Sum, 774. Minimize Max Distance to Gas Station, 875. Koko Eating Bananas, 1011. Capacity To Ship Packages 6  Within D Days, 1482. Minimum Number of Days to Make m Bouquets, 1760. Minimum Limit of Balls in a Bag, 2064. Minimized Maximum of Products Distributed to Any Store, 2226. Maximum Candies Allocated to K Children"
Pattern 62: Find First/Last Occurrence,"34. Find First and Last Position of Element in Sorted Array, 658. Find K Closest Elements"
Pattern 63: Median / Kth across Two Sorted Arrays,"4. Median of Two Sorted Arrays, 719. Find K-th Smallest Pair Distance, 378. Kth Smallest Element in a Sorted Matrix
"
X. Stack Patterns,
Pattern 64: Valid Parentheses Matching,"20. Valid Parentheses, 32. Longest Valid Parentheses, 921. Minimum Add to Make Parentheses Valid, 1249. Minimum Remove to Make Valid Parentheses, 1963. Minimum Number of Swaps to Make the String Balanced"
Pattern 65: Monotonic Stack,"402. Remove K Digits, 496. Next Greater Element I, 503. Next Greater Element II, 739. Daily Temperatures, 901. Online Stock Span, 907. Sum of Subarray Minimums, 962. Maximum Width Ramp, 1475. Final Prices With a Special Discount in a Shop, 1673. Find the Most Competitive Subsequence"
Pattern 66: Expression Evaluation ,"150. Evaluate Reverse Polish Notation, 224. Basic Calculator, 227. Basic Calculator II, 772. Basic Calculator III"
Pattern 67:  Simulation / Backtracking Helper,"71. Simplify Path, 394. Decode String, 735. Asteroid Collision"
Pattern 68: Min Stack Design,"155. Min Stack, 895. Maximum Frequency Stack, 901. Online Stock Span"
Pattern 69: Largest Rectangle in Histogram,"84. Largest Rectangle in Histogram, 85. Maximal Rectangle"
XI. Bit Manipulation Patterns,
Pattern 70: Bitwise XOR - Finding Single/Missing Number,"136. Single Number, 137. Single Number II, 268. Missing Number, 389. Find the Difference"
Pattern 71:Bitwise AND - Counting Set Bits (Hamming Weight),"191. Number of 1 Bits, 231. Power of Two, 477. Total Hamming Distance"
Pattern 72: Bitwise DP - Counting Bits Optimization,"338. Counting Bits, 1494. Parallel Courses II, 1442. Count Triplets That Can Form Two Arrays of Equal XOR"
Pattern 73: Bitwise Operations - Power of Two/Four Check,"231. Power of Two, 342. Power of Four"
XII. Linked List Manipulation Patterns,
Pattern 74:  In-place Reversal,"83. Remove Duplicates from Sorted List, 92. Reverse Linked List II, 206. Reverse Linked List, 25. Reverse Nodes in k-Group, 234. Palindrome Linked List, 82. Remove Duplicates from Sorted List II"
Pattern 75: Merging Two Sorted Lists,"21. Merge Two Sorted Lists, Merge k Sorted Lists"
Pattern 76:  Addition of Numbers,"2. Add Two Numbers, 369. Plus One Linked List"
Pattern 77: Intersection Detection,"160. Intersection of Two Linked Lists, 599. Minimum Index Sum of Two Lists
"
Pattern 78: Reordering / Partitioning,"24. Swap Nodes in Pairs, 61. Rotate List, 86. Partition List, 143. Reorder List, 328. Odd Even Linked List"
XIII. Array/Matrix Manipulation Patterns,
Pattern 79: In-place Rotation,"48. Rotate Image, 189. Rotate Array, 867. Transpose Matrix "
Pattern 80: Spiral Traversal,"54. Spiral Matrix, 59. Spiral Matrix II, 885. Spiral Matrix III, 2326. Spiral Matrix IV"
Pattern 81: In-place Marking,"73. Set Matrix Zeroes, 289. Game of Life, 498. Diagonal Traverse"
Pattern 82: Prefix/Suffix Products,"238. Product of Array Except Self, 845. Longest Mountain in Array, 2483. Minimum Penalty for a Shop"
Pattern 83: Plus One ,"66. Plus One, 43. Multiply Strings, 989. Add to Array-Form of Integer, 67. Add Binary"
Pattern 84: In-place from End,"88. Merge Sorted Array, 977. Squares of a Sorted Array"
Pattern 85: Cyclic Sort,"41. First Missing Positive, 268. Missing Number, 287. Find the Duplicate Number, 442. Find All Duplicates in an Array, 448. Find All Numbers Disappeared in an Array"
XIV. String Manipulation Patterns,
Pattern 86: Palindrome Check ,"9. Palindrome Number, 125. Valid Palindrome, 680. Valid Palindrome II"
Pattern 87: Anagram Check,"49. Group Anagrams, 242. Valid Anagram"
Pattern 88: Roman to Integer Conversion,"13. Roman to Integer, 12. Integer to Roman"
Pattern 89: String to Integer (atoi),"8. String to Integer (atoi), 65. Valid Number"
Pattern 90: Manual Simulation,"43. Multiply Strings, 415. Add Strings, 67. Add Binary"
Pattern 91: String Matching - Naive / KMP / Rabin-Karp,"28. Find the Index of the First Occurrence in a String, 214. Shortest Palindrome, 686. Repeated String Match, 796. Rotate String, 3008. Find Beautiful Indices in the Given Array II"
Pattern 92: Repeated Substring Pattern Detection,"459. Repeated Substring Pattern, 28. Find the Index of the First Occurrence in a String, 686.Repeated String Match"
XV. Design Patterns,
Pattern 93: Design (General/Specific),"146. LRU Cache, 155. Min Stack,  225. Implement Stack using Queues, 232. Implement Queue using Stacks, 251. Flatten 2D Vector, 271. Encode and Decode Strings, 295. Find Median from Data Stream, 341. Flatten Nested List Iterator, 346. Moving Average from Data Stream, 353. Design Snake Game, 359. Logger Rate Limiter, 362. Design Hit Counter, 379. Design Phone Directory, 380. Insert Delete GetRandom O(1), 432. All O`one Data Structure, 460. LFU Cache, 604. Design Compressed String Iterator, 622. Design Circular Queue, 641. Design Circular Deque, 642. Design Search Autocomplete System, 706. Design HashMap, 715. Range Module, 900. RLE Iterator, 981. Time Based Key-Value Store, 1146. Snapshot Array, 1348. Tweet Counts Per Frequency, 1352. Product of the Last K Numbers, 1381. Design a Stack With Increment Operation, 1756. Design Most Recently Used Queue, 2013. Detect Squares, 2034. Stock Price Fluctuation, 2296. Design a Text Editor, 2336. Smallest Number in Infinite Set"
Pattern 94. Tries,"208. Implement Trie (Prefix Tree), 211. Design Add and Search Words Data Structure, 720. Longest Word in Dictionary, 648. Replace Words, 425. Word Squares, 642. Design Search Autocomplete System, 745. Prefix and Suffix Search"
